Type,Test Plan ID,Suite Path,Suite ID,Test Case ID,Title,Step Number,Step Action,Expected Result,Execution Status,Execution Outcome,Last Run Date,Last Run By,Assigned To,Created Date,Created By,Area Path,Iteration,Automated
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123885,,4,Type institution name in Institution field,Institution field has autocomplete/search functionality,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123885,,5,Verify autocomplete suggestions appear,Typing institution name shows matching suggestions,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123885,,6,Select institution from list,Selected institution links node to that institution's users,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123885,,7,Save node with institution association and verify,DICOM node must be associated with an institution and institution association is required for save,,,,,,,,,,
Test Case,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123886,Verify TLS Encryption Configuration,,,,Not Executed,,,,Cody Huls,2025-12-12T22:53:35.053Z,Cody Huls,eNcounterCloud Modernization,eNcounterCloud Modernization,No
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123886,,1,Login as administrator user,User is successfully logged into eCloud as administrator,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123886,,2,Create or edit DICOM node,DICOM node form opens,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123886,,3,Locate Use Encrypted TLS Communication checkbox,Use Encrypted TLS Communication checkbox is visible,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123886,,4,Check the checkbox to enable TLS,Checking enables DICOM communication using TLS encryption,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123886,,5,Save node configuration,TLS configuration saves with node and ensures HIPAA compliance,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123886,,6,Verify TLS setting persists,TLS setting is retained after save,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123886,,7,Uncheck to disable TLS,Unchecked state returns to standard unencrypted DICOM (default),,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123886,,8,Save and verify change persists,Unchecked TLS setting saves correctly,,,,,,,,,,
Test Case,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123887,Verify DICOM Advanced Settings,,,,Not Executed,,,,Cody Huls,2025-12-12T22:53:35.053Z,Cody Huls,eNcounterCloud Modernization,eNcounterCloud Modernization,No
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123887,,1,Login as administrator user,User is successfully logged into eCloud as administrator,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123887,,2,Edit a DICOM node,DICOM node edit form opens,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123887,,3,Check Configure Advanced Settings option status,Configure Advanced Settings option is visible,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123887,,4,If enabled click to expand advanced options,Advanced settings may be disabled for certain nodes or users,,,,,,,,,,
